"statement","label"
"dogs are mammals","True"
"dogs are animals","True"
"dogs are vertebrates","True"
"dogs are carnivores","True"
"dogs are pets","True"
"dogs are like wolves","True"
"dogs are like foxes","True"
"dogs are like coyotes","True"
"dogs are like jackals","True"
"dogs are like dingoes","True"
"dogs are not reptiles","True"
"dogs are not birds","True"
"dogs are not fish","True"
"dogs are not insects","True"
"dogs are not plants","True"
"dogs have tails","True"
"dogs have fur","True"
"dogs have paws","True"
"dogs have teeth","True"
"dogs have ears","True"
"dogs are made of flesh","True"
"dogs are made of bone","True"
"dogs are made of skin","True"
"dogs are made of muscle","True"
"dogs are made of blood","True"
"dogs can bark","True"
"dogs can run","True"
"dogs can jump","True"
"dogs can fetch","True"
"dogs can swim","True"
"dogs eat meat","True"
"dogs eat bones","True"
"dogs eat fish","True"
"dogs eat chicken","True"
"dogs eat scraps","True"
"dogs live in houses","True"
"dogs live in kennels","True"
"dogs live in homes","True"
"dogs live in yards","True"
"dogs live in farms","True"
"dogs are bigger than cats","True"
"dogs are bigger than rabbits","True"
"dogs are bigger than mice","True"
"dogs are bigger than chickens","True"
"dogs are bigger than frogs","True"
"dogs are faster than snakes","True"
"dogs are faster than cats","True"
"dogs are faster than mice","True"
"dogs are faster than chickens","True"
"dogs are faster than frogs","True"
"cats are mammals","True"
"cats are animals","True"
"cats are predators","True"
"cats are vertebrates","True"
"cats are carnivores","True"
"cats are like lions","True"
"cats are like tigers","True"
"cats are like leopards","True"
"cats are like cheetahs","True"
"cats are like dogs","True"
"cats are not reptiles","True"
"cats are not birds","True"
"cats are not fish","True"
"cats are not insects","True"
"cats are not plants","True"
"cats have whiskers","True"
"cats have tails","True"
"cats have claws","True"
"cats have fur","True"
"cats have teeth","True"
"cats are made of flesh","True"
"cats are made of bone","True"
"cats are made of skin","True"
"cats are made of muscle","True"
"cats are made of blood","True"
"cats can climb","True"
"cats can jump","True"
"cats can run","True"
"cats can purr","True"
"cats can scratch","True"
"cats eat mice","True"
"cats eat fish","True"
"cats eat birds","True"
"cats eat meat","True"
"cats eat frogs","True"
"cats live in houses","True"
"cats live in homes","True"
"cats live in barns","True"
"cats live in cities","True"
"cats live in forests","True"
"cats are bigger than mice","True"
"cats are bigger than frogs","True"
"cats are bigger than chickens","True"
"cats are bigger than fish","True"
"cats are bigger than snakes","True"
"cats are faster than mice","True"
"cats are faster than cows","True"
"cats are faster than frogs","True"
"cats are faster than chickens","True"
"cats are faster than snakes","True"
"rabbits are mammals","True"
"rabbits are animals","True"
"rabbits are herbivores","True"
"rabbits are vertebrates","True"
"rabbits are warm-blooded","True"
"rabbits are like hares","True"
"rabbits are like mice","True"
"rabbits are like cats","True"
"rabbits are like dogs","True"
"rabbits are like horses","True"
